0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AAA|AAA|Анаа|Анаа|Anaa|Anaa|Анаа|Анаа|Anaa|Anaa|Французская Полинезия|Французская Полинезия|-17.354999|-17.354999|-145.508332|-145.508332
AAB|AAB|||Arrabury|Arrabury|||Arrabury|Arrabury|Австралия|Австралия|-26.690555|-26.690555|141.047500|141.047500
AAC|AAC|||Al Arish International Airport|Al Arish International Airport|Аль-Ариш|Аль-Ариш|Al Arish|Al Arish|Египет|Египет|31.073333|31.073333|33.835833|33.835833
AAD|AAD|||Ad-Dabbah|Ad-Dabbah|||Ad-Dabbah|Ad-Dabbah|Судан|Судан|17.592777777778|17.592777777778|33.959166666667|33.959166666667
AAE|AAE|||Les Salines|Les Salines|||Annaba|Annaba|Алжир|Алжир|36.822222|36.822222|7.809444|7.809444
AAF|AAF|||Municipal|Municipal|||Apalachicola|Apalachicola|США|США|29.727549|29.727549|-85.027377|-85.027377
AAG|AAG|||Arapoti|Arapoti|||Arapoti|Arapoti|Бразилия|Бразилия|-24.103875|-24.103875|-49.789078|-49.789078
AAH|AAH|||Aachen/Merzbruck|Aachen/Merzbruck|Аахен|Аахен|Aachen|Aachen|Германия|Германия|50.823056|50.823056|6.186111|6.186111
AAI|AAI|||Arraias|Arraias|||Arraias|Arraias|Бразилия|Бразилия|-13.025|-13.025|-46.884|-46.884
AAJ|AAJ|||Cayana Airstrip|Cayana Airstrip|Аварадам|Аварадам|Awaradam|Awaradam|Суринам|Суринам|3.898611|3.898611|-55.577778|-55.577778
AAK|AAK|Аранука|Аранука|Aranuka|Aranuka|Аранука|Аранука|Aranuka|Aranuka|Кирибати|Кирибати|0.185278|0.185278|173.636667|173.636667
AAL|AAL|Аальборг|Аальборг|Aalborg|Aalborg|Аальбург|Аальбург|Aalborg|Aalborg|Дания|Дания|57.092789|57.092789|9.849164|9.849164
AAM|AAM|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala|ЮАР|ЮАР|-24.818111|-24.818111|31.544584|31.544584
AAN|AAN|Эль-Аин|Эль-Аин|Al Ain|Al Ain|Аль-Айн|Аль-Айн|Al Ain|Al Ain|ОАЭ|ОАЭ|24.261667|24.261667|55.609167|55.609167
AAO|AAO|Анако|Анако|Anaco|Anaco|Анако|Анако|Anaco|Anaco|Венесуэла|Венесуэла|9.430225|9.430225|-64.470724|-64.470724
AAP|AAP|||Andrau Airpark|Andrau Airpark|||Houston, TX|Houston, TX|США|США|72.886944|72.886944|-55.596111|-55.596111
AAQ|AAQ|Витязево|Витязево|Vityazevo|Vityazevo|Анапа|Анапа|Anapa|Anapa|Россия|Россия|45.002222|45.002222|37.347222|37.347222
AAR|AAR|||Aarhus Airport|Aarhus Airport|Аарус|Аарус|Aarhus|Aarhus|Дания|Дания|56.300017|56.300017|10.619008|10.619008
AAS|AAS|||Apalapsili|Apalapsili|||Apalapsili|Apalapsili|Индонезия|Индонезия|-3.882499|-3.882499|139.310833|139.310833
